# version=2022
# comment
! line SYNTHETIC EXERCISE DATA — this file describes a fictional asteroid
! line for the IAA PDC 2027 planetary-defense exercise; it is not a real
! line object. "This is only an exercise." (JPL CNEOS)
! line Source: https://cneos.jpl.nasa.gov/pd/cs/pdc27/2026pdc27.epoch1.xml
! line         (Epoch 1 release, 2026-08-01; retrieved 2026-08-13;
! line         SHA256 4a1fccde9c1cb67541e967506c0b9c76ccd724d66799e913e4dfb1cf0d0ef697)
! line Conversion: field-for-field transcription from ADES XML 2022 to
! line ADES PSV. The constant <subFmt>A22</subFmt> field is dropped;
! line every other field is carried verbatim. Generated by
! line convert_pdc27.py, which self-verifies the transcription.
# observatory
! mpcCode 500
! name Geocenter (synthetic geocentric astrometry)
provID|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|band
2026 PDC27|CCD|500|2026-05-11T00:00:00.000Z|270.922313|3.599900|0.1|0.1|Gaia3|23.8|V
2026 PDC27|CCD|500|2026-05-11T02:24:00.000Z|270.913354|3.619189|0.1|0.1|Gaia3|23.8|V
2026 PDC27|CCD|500|2026-05-17T00:00:00.000Z|270.074588|4.745733|0.1|0.1|Gaia3|23.5|V
2026 PDC27|CCD|500|2026-05-17T02:24:00.000Z|270.054787|4.764481|0.1|0.1|Gaia3|23.5|V
2026 PDC27|CCD|500|2026-05-23T00:00:00.000Z|268.518675|5.829936|0.1|0.1|Gaia3|23.1|V
2026 PDC27|CCD|500|2026-05-23T02:24:00.000Z|268.486058|5.847108|0.1|0.1|Gaia3|23.1|V
2026 PDC27|CCD|500|2026-06-04T00:00:00.000Z|262.759350|7.504550|0.1|0.1|Gaia3|22.4|V
2026 PDC27|CCD|500|2026-06-04T02:24:00.000Z|262.693996|7.513939|0.1|0.1|Gaia3|22.4|V
2026 PDC27|CCD|500|2026-06-10T00:00:00.000Z|258.257158|7.860997|0.1|0.1|Gaia3|22.1|V
2026 PDC27|CCD|500|2026-06-10T02:24:00.000Z|258.171783|7.862853|0.1|0.1|Gaia3|22.1|V
2026 PDC27|CCD|500|2026-06-16T00:00:00.000Z|252.513408|7.669681|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-06-16T02:24:00.000Z|252.406992|7.660700|0.1|0.1|Gaia3|21.9|V
2026 PDC27|CCD|500|2026-06-28T00:00:00.000Z|237.463838|4.915225|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-06-28T02:24:00.000Z|237.321467|4.877053|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-06-29T00:00:00.000Z|236.029988|4.522033|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-06-29T02:24:00.000Z|235.885392|4.481319|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-06-30T00:00:00.000Z|234.574592|4.103564|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-06-30T02:24:00.000Z|234.427925|4.060344|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-01T00:00:00.000Z|233.099229|3.660278|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-01T02:24:00.000Z|232.950654|3.614608|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-02T00:00:00.000Z|231.605517|3.192783|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-02T02:24:00.000Z|231.455200|3.144731|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-03T00:00:00.000Z|230.095100|2.701828|0.2|0.2|Gaia3|21.7|V
2026 PDC27|CCD|500|2026-07-03T02:24:00.000Z|229.943204|2.651475|0.2|0.2|Gaia3|21.7|V
